Course Title, Full Title, Prerequisite
CS 440,Artificial Intelligence,CS 225 ECE 391 
CS 446,Machine Learning,CS 373 CS 440 
CS 450,Numerical Analysis,CS 101 CS 125 CS 357 MATH 415 MATH 285 
CS 460,Security Laboratory,CS 461 
CS 461,Computer Security I,CS 241 ECE 391 
CS 463,Computer Security II,CS 461 CS 475 
CS 465,User Interface Design,CS 225 
CS 466,Introduction to Bioinformatics,CS 225 
CS 467,Social Visualization,CS 225 
CS 468,Tech and Advertising Campaigns,NULL
CS 476,Program Verification,CS 225 CS 374 MATH 414 
CS 477,Formal Software Devel Methods,CS 225 CS 373 MATH 414 
CS 482,Simulation,NULL
CS 483,Applied Parallel Programming,NULL
CS 484,Parallel Programming,CS 241 
CS 491,Seminar,NULL
CS 492,Senior Project I,NULL
CS 497,CS Team Project,NULL
CS 498,Special Topics,NULL
CS 499,Senior Thesis,NULL
CS 508,Manycore Parallel Algorithms,NULL
CS 512,Data Mining Principles,CS 412 
CS 513,Theory & Practice of Data Cleaning,NULL
CS 526,Advanced Compiler Construction,CS 426 
CS 527,Topics in Software Engineering,CS 428 CS 429 
CS 533,Parallel Computer Architecture,CS 433 
CS 538,Advanced Computer Networks,CS 438 
CS 543,Computer Vision,NULL
CS 544,Optimiz in Computer Vision,CS 450 CS 473 
CS 555,Numerical Methods for PDEs,CS 450 CS 457 
CS 565,Human-Computer Interaction,CS 465 
CS 579,Computational Complexity,CS 473 CS 475 
CS 591,Advanced Seminar,NULL
CS 597,Individual Study,NULL
CS 598,Special Topics,NULL
CS 599,Thesis Research,NULL
CSE 401,Numerical Analysis,NULL
CSE 408,Applied Parallel Programming,NULL
CSE 412,Numerical Thermo-Fluid Mechs,NULL
CSE 422,Computer System Organization,NULL
CSE 423,Operating Systems Design,NULL
CSE 427,Interactive Computer Graphics,NULL
CSE 428,Statistical Computing,NULL
CSE 429,Software Engineering II,NULL
CSE 440,Statistical Data Management,NULL
CSE 441,Introduction to Optimization,NULL
CSE 448,Advanced Data Analysis,NULL
CSE 451,Finite Element Analysis,NULL
CSE 461,Computational Aerodynamics,NULL
CSE 510,Numerical Methods for PDEs,NULL
CSE 517,Adv Finite Element Methods,NULL
CSE 521,Computer Architecture,NULL
CSE 522,Parallel Computer Architecture,NULL
CSE 542,Statistical Learning,NULL
CSE 551,Finite Element Methods,NULL
CSE 566,Numerical Fluid Dynamics,NULL
CW 100,Intro to Creative Writing,NULL
CW 104,Introductory Narrative Writing,NULL
CW 106,Introductory Poetry Writing,NULL
CW 200,Reading for Writers,CW 104 CW 106 
CW 202,Topics in Creative Writing,NULL
CW 204,Intermediate Narrative Writing,CW 104 
CW 206,Intermediate Poetry Writing,CW 106 
CW 208,Creative Nonfiction Writing,RHET 233 CW 243 
CW 243,Inter Expository Writing,NULL
CW 404,Advanced Narrative Writing,CW 204 
CW 406,Advanced Poetry Writing,CW 206 
CW 455,Creative Writing Tutorial,CW 208 CW 404 CW 406 
CW 460,Intro to Literary Editing,CW 104 CW 106 
CW 504,Writing Workshop in Fiction,NULL
CW 506,Writing Workshop in Poetry,NULL
CW 560,Literary Publishing &Promotion,NULL
CW 563,Special Topics,NULL
CW 591,Independent Study,NULL
CW 595,Final Project,NULL
CWL 119,Literature of Fantasy,NULL
CWL 190,Lit of Asia & Africa II,NULL
CWL 191,Freshman Honors Tutorial,NULL
CWL 199,Undergraduate Open Seminar,NULL
CWL 202,Literature and Ideas,CWL 241 CWL 242 
CWL 207,Indian Cinema in Context,NULL
CWL 208,Cultures & Literatures of South Asia,NULL
CWL 220,Origins of Western Literature,NULL
CWL 226,Humanist Persp of Afro-Am Exp,NULL
CWL 242,Modern Masterpieces of Western Culture,NULL
CWL 249,Russian Lit and Revolution,NULL
CWL 253,Medieval Lit and Culture,NULL
CWL 254,Grimm's Fairy Tales in Context,NULL
CWL 255,Renaissance Lit and Culture,NULL
CWL 257,Enlightenment Lit and Culture,NULL
CWL 262,Sex & Gender in Antiquity,NULL
CWL 263,The Heroic Tradition,NULL
CWL 267,The Short Story,NULL
CWL 273,The Holocaust in Context,NULL
CWL 275,Masterpieces of East Asian Lit,NULL
CWL 320,Lit Responses to the Holocaust,NULL
CWL 323,Tolstoy,NULL
CWL 350,South Asian Goddesses,NULL
CWL 389,French & Comparative Cinema II,NULL
CWL 412,Mod Chinese Lit in Translation,NULL
CWL 413,Dante,NULL
CWL 477,Post-Communist Fiction,NULL
CWL 481,Topics in Arabic Literature & Culture,NULL
CWL 493,Senior Thesis and Honors,NULL
CWL 496,Special Topics in Comp Lit II,NULL
CWL 502,Methods of Comparative Lit,NULL
CWL 504,Theories of Cinema,NULL
CWL 551,Seminar Lit Movements,NULL
CWL 571,Seminar in Literary Relations,NULL
CWL 581,Seminar Lit Themes,NULL
CWL 593,Special Studies,NULL
CWL 599,Thesis Research,NULL
CZCH 484,Readings in Czech,CZCH 202 
DANC 100,Intro to Contemporary Dance,NULL
DANC 101,Modern Dance I,NULL
DANC 102,Modern Dance II,DANC 101 
DANC 103,Contact Improvisation,NULL
DANC 104,Making Dances,NULL
DANC 105,Jazz Dance I,NULL
DANC 107,Ballet I,NULL
DANC 108,Ballet II,DANC 107 
DANC 109,Ballet III,DANC 108 
DANC 112,Hip Hop,NULL
DANC 121,Tap Dance II,DANC 120 
DANC 131,Production Practicum I,NULL
DANC 160,Beg Contemp Modern Tech Core,NULL
DANC 167,Beginning Ballet Tech Elect,NULL
DANC 199,Undergraduate Open Seminar,NULL
DANC 201,Yoga Practicum,NULL
DANC 211,Int Hip Hop Technique,NULL
DANC 212,Musical Theater Dance,NULL
DANC 215,Int Tap Dance Technique,NULL
DANC 220,Perf Pract Student Works I,NULL
DANC 221,Performance in Grad Thesis I,NULL
DANC 223,Perf Pract February I,NULL
DANC 231,Production Practicum II,NULL
DANC 245,Introduction to Somatics,NULL
DANC 259,Contact Improv for Act/Mus/Dan,NULL
DANC 260,Int Contemp Modern Tech Core,DANC 160 
DANC 261,Int Contemp Modern Tech Elect,DANC 160 
DANC 266,Intermediate Ballet Tech Core,DANC 166 DANC 167 
DANC 267,Intermediate Ballet Tech Elect,DANC 166 DANC 167 
DANC 268,Music Theory for Dancers,NULL
DANC 301,Yoga Fundamentals,NULL
DANC 330,Dance Documentation,NULL
DANC 331,Production Practicum III,DANC 131 DANC 231 
DANC 340,Dancing Black Popular Culture,NULL
DANC 360,Int/Adv Contemp Mod Tech Core,NULL
DANC 361,Int/Adv Contemp Mod Tech Elect,NULL
DANC 362,Choreographic Process II,DANC 262 
DANC 366,Int/Adv Ballet Tech Core,NULL
DANC 367,Int/Adv Ballet Tech Elect,NULL
DANC 375,Production in Dance,NULL
DANC 400,Viewing Dance,NULL
DANC 402,Alexander Technique Practicum,NULL
DANC 411,Adv Hip Hop Technique,NULL
DANC 420,Perf Pract Student Works II,NULL
DANC 421,Performance in Grad Thesis II,NULL
DANC 423,Perf Pract February II,NULL
DANC 424,Collaborative Performance,DANC 162 DANC 259 
DANC 425,Dance Internship,NULL
DANC 431,Production Practicum IV,DANC 131 DANC 231 
DANC 441,Dance History Seminar,DANC 240 
DANC 450,Teaching Workshop,NULL
DANC 451,Ind Study and Special Topics,NULL
DANC 455,Supervised Teaching,NULL
DANC 459,Contact Improv Act/Mus/Dan II,NULL
DANC 460,Adv Contemp Modern Tech Core,NULL
DANC 461,Adv Contemp Modern Tech Elect,NULL
DANC 466,Advanced Ballet Tech Core,NULL
DANC 467,Advanced Ballet Tech Elect,NULL
DANC 497,BA Capstone Project,NULL
DANC 498,Senior Thesis Production,DANC 375 DANC 499 
DANC 499,Senior Thesis Project,DANC 362 DANC 498 
DANC 530,Somatics in Dance Training,DANC 445 DANC 450 
DANC 531,MFA Prof Practice Seminar,NULL
DANC 542,Contemporary Directions II,DANC 541 
DANC 550,Advanced Research in Dance,NULL
DANC 560,Advanced Physical Practice,NULL
DANC 562,Graduate Composition II,NULL
DANC 598,Creative Thesis Project,NULL
EALC 114,Introduction to East Asian Art,NULL
EALC 120,East Asian Civilizations,NULL
EALC 132,Zen,NULL
EALC 199,Undergraduate Open Seminar,NULL
EALC 221,Modern China,NULL
EALC 250,Intro to Japanese Culture,NULL
EALC 275,Masterpieces of East Asian Lit,NULL
EALC 287,Introduction to Buddhism,NULL
EALC 307,Classical Chinese Lit,NULL
EALC 343,Gov & Pol of China,NULL
EALC 367,History of Korea,NULL
EALC 390,Individual Study,NULL
EALC 391,Honors Tutorial,NULL
EALC 398,Colloquium in EALC,NULL
EALC 412,Mod Chinese Lit in Translation,NULL
EALC 430,Intro to East Asian Ling,NULL
EALC 488,History of Chinese Buddhism,REL 287 
EALC 490,Individual Study,NULL
EALC 495,Topics in Asian Religions,NULL
EALC 501,Seminar in Chinese Art,NULL
EALC 520,Problems in Chinese History,NULL
EALC 521,Seminar in Chinese Literature,NULL
EALC 550,Seminar in EALC,NULL
EALC 588,Sem Second Lang Learn,NULL
EALC 590,Individual Study and Research,NULL
EALC 599,Thesis Research,NULL
ECE 110,Introduction to Electronics,NULL
ECE 120,Introduction to Computing,NULL
ECE 198,Special Topics,NULL
ECE 199,Undergraduate Open Seminar,NULL
ECE 200,Seminar,NULL
ECE 205,Electrical and Electronic Circuits,PHYS 212 
ECE 206,Electrical and Electronic Circuits Lab,ECE 205 
ECE 210,Analog Signal Processing,ECE 110 PHYS 212 MATH 285 MATH 286 
ECE 211,Analog Circuits & Systems,ECE 110 PHYS 212 MATH 285 MATH 286 
ECE 220,Computer Systems & Programming,ECE 120 
ECE 297,Individual Study,NULL
ECE 298,Special Topics,NULL
ECE 307,Techniques for Engrg Decisions,ECE 210 ECE 313 
ECE 310,Digital Signal Processing,ECE 210 
ECE 311,Digital Signal Processing Lab,ECE 310 
ECE 313,Probability with Engrg Applic,MATH 286 MATH 415 
ECE 314,Probability in Engineering Lab,ECE 313 ECE 313 IE 300 STAT 410 
ECE 316,Ethics and Engineering,RHET 105 
ECE 317,ECE Technology & Management,MATH 220 MATH 221 MATH 234 
ECE 329,Fields and Waves I,ECE 210 
ECE 330,Power Ckts & Electromechanics,ECE 210 
ECE 333,Green Electric Energy,ECE 205 ECE 210 
ECE 340,Semiconductor Electronics,ECE 210 PHYS 214 ECE 329 
ECE 342,Electronic Circuits,ECE 210 
ECE 343,Electronic Circuits Laboratory,ECE 342 
ECE 350,Fields and Waves II,ECE 329 
ECE 365,Data Science and Engineering,ECE 313 
ECE 374,Introduction to Algorithms & Models of Computation,NULL
ECE 385,Digital Systems Laboratory,ECE 110 ECE 220 
ECE 391,Computer Systems Engineering,ECE 220 CS 233 
ECE 395,Advanced Digital Projects Lab,ECE 385 
ECE 396,Honors Project,NULL
ECE 397,Individual Study in ECE,NULL
ECE 398,Special Topics in ECE,NULL
ECE 402,Electronic Music Synthesis,ECE 310 
ECE 403,Audio Engineering,ECE 210 ECE 310 
ECE 408,Applied Parallel Programming,ECE 220 
ECE 411,Computer Organization & Design,ECE 391 CS 241 
ECE 414,Biomedical Instrumentation,NULL
ECE 415,Biomedical Instrumentation Lab,NULL
ECE 418,Image & Video Processing,ECE 310 ECE 313 STAT 400 IE 300 MATH 461 MATH 415 
ECE 419,Security Laboratory,NULL
ECE 420,Embedded DSP Laboratory,ECE 310 
ECE 422,Computer Security I,NULL
ECE 424,Computer Security II,NULL
ECE 425,Intro to VLSI System Design,ECE 385 ECE 411 CS 233 
ECE 428,Distributed Systems,NULL
ECE 431,Electric Machinery,ECE 330 
ECE 437,Sensors and Instrumentation,ECE 329 
ECE 438,Communication Networks,NULL
ECE 441,Physcs & Modeling Semicond Dev,ECE 340 
ECE 443,LEDs and Solar Cells,ECE 340 
ECE 444,IC Device Theory & Fabrication,ECE 340 
ECE 445,Senior Design Project Lab,NULL
ECE 448,Artificial Intelligence,NULL
ECE 451,Adv Microwave Measurements,ECE 350 
ECE 453,Wireless Communication Systems,ECE 329 ECE 342 
ECE 457,Microwave Devices & Circuits,ECE 340 ECE 350 
ECE 461,Digital Communications,ECE 210 ECE 313 
ECE 462,Logic Synthesis,ECE 220 CS 233 
ECE 463,Digital Communications Lab,ECE 361 ECE 459 
ECE 467,Biophotonics,ECE 455 ECE 460 PHYS 402 
ECE 468,Optical Remote Sensing,ECE 329 ECE 313 
ECE 470,Introduction to Robotics,MATH 225 MATH 286 MATH 415 MATH 418 
ECE 478,Formal Software Devel Methods,NULL
ECE 481,Nanotechnology,CHEM 442 CHBE 457 ME 485 MSE 401 PHYS 460 
ECE 483,Analog IC Design,ECE 342 
ECE 486,Control Systems,ECE 210 
ECE 489,Robot Dynamics and Control,NULL
ECE 490,Introduction to Optimization,ECE 220 MATH 415 
ECE 491,Numerical Analysis,NULL
ECE 493,Advanced Engineering Math,NULL
ECE 495,Photonic Device Laboratory,ECE 487 
ECE 496,Senior Research Project,RHET 105 
ECE 498,Special Topics in ECE,NULL
ECE 499,Senior Thesis,ECE 496 
ECE 500,ECE Colloquium,NULL
ECE 508,Manycore Parallel Algorithms,ECE 408 CS 420 
ECE 511,Computer Architecture,ECE 411 CS 433 
ECE 513,Vector Space Signal Processing,ECE 310 ECE 313 MATH 415 
ECE 515,Control System Theory & Design,ECE 486 
ECE 528,Analysis of Nonlinear Systems,ECE 515 MATH 444 MATH 447 
ECE 534,Random Processes,ECE 313 MATH 461 STAT 400 
ECE 536,Integ Optics & Optoelectronics,ECE 455 ECE 487 PHYS 486 ECE 488 
ECE 543,Statistical Learning Theory,ECE 534 
ECE 549,Computer Vision,ECE 448 CS 225 
ECE 553,Optimum Control Systems,ECE 313 ECE 515 
ECE 555,Control of Stochastic Systems,ECE 515 ECE 534 
ECE 561,Detection & Estimation Theory,ECE 534 
ECE 572,Quantum Opto-Electronics,PHYS 485 
ECE 579,Computational Complexity,NULL
ECE 580,Optimiz by Vector Space Methds,MATH 415 MATH 482 MATH 447 
ECE 586,Topics in Decision and Control,NULL
ECE 590,Grad Sem in Special Topics,NULL
ECE 594,Math Models of Language,ECE 537 
ECE 596,Master's Project,NULL
ECE 597,Individual Study in ECE,NULL
ECE 598,Special Topics in ECE,NULL
ECE 599,Thesis Research,NULL
ECON 102,Microeconomic Principles,NULL
ECON 103,Macroeconomic Principles,NULL
ECON 198,Economics at Illinois,NULL
ECON 199,Undergraduate Open Seminar,NULL
ECON 202,Economic Statistics I,MATH 220 MATH 221 MATH 234 
ECON 203,Economic Statistics II,ECON 202 MATH 220 MATH 221 MATH 234 
ECON 210,Environmental Economics,NULL
ECON 302,Inter Microeconomic Theory,ECON 102 MATH 220 MATH 221 MATH 234 
ECON 303,Inter Macroeconomic Theory,ECON 102 ECON 103 MATH 220 MATH 221 MATH 234 
ECON 399,Undergraduate Open Seminar,ECON 101 ECON 102 
ECON 402,American Economic History,ECON 202 ECON 302 MATH 220 
ECON 411,Public Sector Economics,ECON 302 
ECON 414,Urban Economics,ECON 302 
ECON 417,Cost-Benefit Analysis,ECON 202 ECON 302 MATH 220 MATH 221 ECON 203 
ECON 418,Health Economics,ECON 202 ECON 302 MATH 220 MATH 221 
ECON 420,International Economics,ECON 302 ECON 303 
ECON 426,Monetary Economics and Policy,ECON 202 ECON 303 MATH 231 ECON 302 
ECON 437,Game Theory,ECON 202 ECON 302 MATH 220 MATH 221 ECON 203 MATH 231 
ECON 440,Economics of Labor Markets,ECON 302 
ECON 447,Economics of the Workplace,ECON 202 ECON 302 MATH 220 MATH 221 
ECON 448,Employee Compensation and Incentives,ECON 202 ECON 302 MATH 220 MATH 221 
ECON 450,Development Economics,ECON 102 ECON 103 ECON 302 
ECON 453,Economies of the Middle East and North Africa,ECON 202 ECON 302 MATH 220 MATH 221 
ECON 455,Economics of Poverty Alleviation in Developing Countries,ECON 202 ECON 302 MATH 220 MATH 221 
ECON 460,Financial Economics,ECON 202 ECON 302 MATH 220 MATH 221 
ECON 471,Intro to Applied Econometrics,ECON 203 ECON 302 ECON 303 
ECON 472,Financial Econometrics,ECON 203 ECON 302 MATH 220 MATH 221 MATH 231 ECON 471 
ECON 475,Economic Forecasting,ECON 203 ECON 302 MATH 220 MATH 221 MATH 231 
ECON 480,Industrial Comp and Monopoly,ECON 302 
ECON 481,Govt Reg of Economic Activity,ECON 302 
ECON 484,Law and Economics,ECON 302 
ECON 490,Topics in Economics,NULL
ECON 501,Macroeconomics,ECON 102 ECON 103 
ECON 503,Econometrics,ECON 502 
ECON 514,International Financial,ECON 302 ECON 303 
ECON 517,Monetary Policy,NULL
ECON 519,Development and Growth Policy,ECON 500 ECON 501 
ECON 528,Microeconomics for Business,NULL
ECON 529,Macroeconomics for Business,NULL
ECON 533,Microeconomic Theory II,ECON 530 
ECON 534,Macroeconomic Theory II,ECON 531 
ECON 535,Econometric Analysis II,ECON 532 
ECON 540,Labor Economics I,ECON 302 ECON 303 
ECON 542,Collective Bargaining,NULL
ECON 550,Econ of Development and Growth,ECON 533 ECON 534 
ECON 553,Demand/Supply/Firms/Households,NULL
ECON 578,Large Sample Theory,NULL
ECON 582,Empirical Ind Organization,NULL
ECON 590,Individual Study and Research,NULL
ECON 598,Workshop and Research Seminar,NULL
ECON 599,Thesis Research,NULL
EDPR 199,Undergraduate Open Seminar,NULL
EDPR 250,School & Community Experiences,NULL
EDPR 420,Ed Prac Students with Sp Needs,NULL
EDPR 432,Ed Prac in EC & ELED,CI 420 CI 406 
EDPR 438,Educational Practice in Special Fields,NULL
EDPR 442,Educational Practice in Secondary Education,NULL
EDPR 550,School and Community Experience,NULL
EDUC 201,Identity and Difference in Education,NULL
EDUC 202,Social Justice  School & Society,NULL
EDUC 299,Education Study Abroad,NULL
EDUC 499,Education Abroad,NULL
EIL 199,Undergraduate Open Seminar,NULL
EIL 214,TESL in the Elementary School,NULL
EIL 215,TESL in the Secondary School,NULL
EIL 411,Intro to TESL Methodology,NULL
EIL 422,Engl Grammar for ESL Teachers,NULL
EIL 445,Second Lang Reading & Writing,NULL
EIL 456,Lang and Social Interaction I,NULL
EIL 460,Principles of Language Testing,EIL 489 
EIL 488,Phonology for Second Language Teachers,NULL
EIL 591,Research in Special Topics,NULL
EIL 599,Thesis Research,NULL
ENG 198,Special Topics,NULL
ENG 199,Undergraduate Open Seminar,NULL
ENG 298,Special Topics,NULL
ENG 299,Engineering Study Abroad,NULL
ENG 300,Engrg Transfer Orientation,NULL
ENG 310,Engineering Internship,NULL
ENG 398,Special Topics,NULL
ENG 441,International Water Project II,ENG 440 
ENG 471,Seminar Energy & Sustain Engrg,MATH 220 MATH 221 CHEM 104 CHEM 204 PHYS 101 PHYS 211 NPRE 201 
ENG 491,Interdisciplinary Design Proj,NULL
ENG 498,Special Topics,NULL
ENG 510,Engineering Practice,NULL
ENG 571,Theory Energy & Sustain Engrg,ENG 471 
ENG 572,Professional Practicum,NULL
ENG 573,Capstone Project,NULL
ENG 591,Engineering Advanced Seminar,NULL
ENG 598,Special Topics,NULL
ENGH 397,Honors Independent Study,NULL
ENGL 101,Intro to Poetry,NULL
ENGL 103,Intro to Fiction,NULL
ENGL 104,Intro to Film,NULL
ENGL 109,Intro to Fiction-ACP,NULL
ENGL 115,Intro to British Literature,NULL
ENGL 116,Introduction to American Literature,NULL
ENGL 119,Literature of Fantasy,NULL
ENGL 120,Science Fiction,NULL
ENGL 191,Freshman Honors Tutorial,NULL
ENGL 199,Undergraduate Open Seminar,NULL
ENGL 200,Intro to the Study of Lit,NULL
ENGL 202,Medieval Lit and Culture,NULL
ENGL 204,Renaissance Lit and Culture,NULL
ENGL 206,Enlightenment Lit and Culture,NULL
ENGL 209,British Lit to 1800,NULL
ENGL 213,Modernist Lit and Culture,NULL
ENGL 218,Introduction to Shakespeare,NULL
ENGL 220,Literature and Science,NULL
ENGL 224,Latina/o Popular Culture,NULL
ENGL 245,The Short Story,NULL
ENGL 247,The British Novel,NULL
ENGL 250,Nineteenth-Century American Fiction,NULL
ENGL 251,The American Novel Since 1914,NULL
ENGL 255,Early American Literature,ENGL 200 
ENGL 265,Intro to American Indian Lit,NULL
ENGL 266,Grimm's Fairy Tales in Context,NULL
ENGL 269,The Holocaust in Context,NULL
ENGL 270,American Film Genres,NULL
ENGL 273,American Cinema Since 1950,NULL
ENGL 274,Literature and Society,NULL
ENGL 275,Am Indian and Indigenous Film,NULL
ENGL 277,Gender in Gaming,NULL
ENGL 280,Women Writers,NULL
ENGL 285,Postcolonial Lit in English,NULL
ENGL 286,Asian American Literature,NULL
ENGL 290,Individual Study,NULL
ENGL 300,Writing About Lit Text&Culture,NULL
ENGL 301,CriticalApproaches to Lit&Text,ENGL 200 
ENGL 310,Introduction to the Study of the English Language,NULL
ENGL 323,Tolstoy,NULL
ENGL 359,Lit Responses to the Holocaust,NULL
ENGL 360,Environmental Writing,NULL
ENGL 373,Special Topics in Film Studies,NULL
ENGL 380,Topics in Writing Studies,NULL
ENGL 390,Advanced Individual Study,NULL
ENGL 391,Honors Individual Study,NULL
ENGL 396,Honors Seminar I,NULL
ENGL 402,Descriptive English Grammar,NULL
ENGL 404,Engl Grammar for ESL Teachers,NULL
ENGL 418,Shakespeare,NULL
ENGL 421,Later Renaiss Poetry & Prose,NULL
ENGL 455,Major Authors,NULL
ENGL 458,Latina/o Performance,NULL
ENGL 460,Lit of American Minorities,NULL
ENGL 461,Topics in Literature,NULL
ENGL 462,Topics in Modern Fiction,NULL
ENGL 475,Lit and Other Disciplines,NULL
ENGL 498,Environmental Writing for Publication,NULL
ENGL 504,Theories of Cinema,NULL
ENGL 524,Seminar in 17th C Literature,NULL
ENGL 543,Seminar Mod British Lit,NULL
ENGL 547,Seminar Earlier American Lit,NULL
ENGL 553,Seminar Later American Lit,NULL
ENGL 581,Seminar Literary Theory,NULL
ENGL 582,Topics Research and Writing,NULL
ENGL 584,Topics Discourse and Writing,NULL
ENGL 591,Research in Special Topics,NULL
ENGL 592,Masters Exam Tutorial,NULL
ENGL 593,Prof Seminar College Tchg,NULL
ENGL 599,Thesis Research,NULL
ENSU 310,Renewable & Alternative Energy,NULL
ENSU 410,Sustainable Organizations,NULL
ENT 599,Thesis Research,NULL
ENVS 101,Introduction to Energy Sources,NULL
ENVS 210,Environmental Economics,NULL
ENVS 220,Communicating Agriculture,NULL
ENVS 299,Ind Studies of Env. Topics,NULL
ENVS 301,Tools for Sustainability,NULL
ENVS 310,Natural Resource Economics,NULL
ENVS 330,Environmental Communications,NULL
ENVS 336,Tomorrow's Environment,NULL
ENVS 380,Environmental Geology,NULL
ENVS 406,Urban Ecology,NULL
ENVS 420,Conservation Biology,NULL
ENVS 431,Environ Toxicology & Health,NULL
ENVS 433,Pesticide Toxicology,NULL
ENVS 469,Environmental Health,NULL
ENVS 491,Sustainability Experience,NULL
ENVS 514,Neurotoxicology,NULL
ENVS 596,Interdisciplinary Tox Sem,NULL
EOL 541,Supervision of Learning Envir,EOL 540 
EOL 542,Leading Learning-Centrd Schls,EOL 540 
EOL 544,Leading Improvement and Innovation,NULL
EOL 546,Public School Finance,NULL
EOL 547,Education Law,NULL
EOL 548,Poli & Cultural Context of Ed,NULL
EOL 560,Clinical Experience Admin,NULL
EOL 565,Human Resource Management,EOL 547 
EOL 568,Diversity  Leadership & Policy,NULL
EOL 571,Foundation of Higher Edu,NULL
EOL 574,Diversity in Higher Education,NULL
EOL 582,College Student Development,EOL 572 
EOL 585,College Teaching,NULL
EOL 588,Capstone Experience I & II,NULL
EOL 589,Internship in Higher Ed,NULL
EOL 590,Advanced Seminar,NULL
EOL 598,Thesis Seminar,NULL
EPOL 199,Undergraduate Open Seminar,NULL
EPOL 395,Independent Study,EPS 201 
EPOL 550,Methods of Educational Inquiry,NULL
EPOL 585,Ethnographic Methods in Educ,NULL
EPOL 591,Thesis Seminar,NULL
EPOL 595,Independent Study,NULL
EPOL 599,Thesis Research,NULL
EPS 201,Foundations of Education,NULL
EPS 202,Foundations of Education-ACP,NULL
EPS 310,Race and Cultural Diversity,NULL
EPS 380,Education and Social Justice,NULL
EPS 390,Undergraduate Advanced Seminar,NULL
EPS 391,Thesis,NULL
EPS 411,School and Society,NULL
EPS 421,Racial and Ethnic Families,NULL
EPS 423,Politics of Education,NULL
EPS 424,Economics of Education,NULL
EPS 500,Topics in Educational Policy,NULL
EPS 529,Education and Human Rights,NULL
EPS 535,Assessment for Learning,NULL
EPS 537,Globalizing Educational Policy,NULL
EPS 553,Global Issues in Learning,NULL
EPS 554,New Media and Literacies,NULL
EPS 570,Postcolonial Theory & Methodology,NULL
EPS 580,Researching Global Education,NULL
EPS 590,Advanced Graduate Seminar,NULL
EPSY 199,Undergraduate Open Seminar,NULL
EPSY 201,Educational Psychology,NULL
EPSY 202,Exploring Cultural Diversity,NULL
EPSY 203,Social Issues Group Dialogues,NULL
EPSY 220,Career Theory and Practice,NULL
EPSY 222,Language & Culture of Deaf Communities,NULL
EPSY 395,Independent Study,NULL
EPSY 398,Thesis,NULL
EPSY 401,Child Language and Education,EPSY 201 EPSY 236 
EPSY 405,Personality and Soc Dev,NULL
EPSY 408,Learning & Hum Dev w/ EdTech,NULL
EPSY 419,Counseling Pre-Practicum,NULL
EPSY 420,Theories of Psychotherapy,PSYC 238 
EPSY 471,Intro to Evaluation Methods,EPSY 480 
EPSY 480,Educational Statistics,NULL
EPSY 487,Principles of Language Testing,NULL
EPSY 490,Developments in Educ Psyc,NULL
EPSY 491,Educ Psyc Field Instruction,NULL
EPSY 510,Counseling Psych/Ethics ProSem,NULL
EPSY 515,Multicultural Counseling,NULL
EPSY 520,Counseling Psych Practicum,NULL
EPSY 553,Global Issues in Learning,NULL
EPSY 567,Personality Assessment,NULL
EPSY 573,Methods of Educational Inquiry,NULL
EPSY 575,Mixed Method Inquiry,EPSY 574 EPSY 580 EPSY 577 EPSY 578 
EPSY 581,Applied Regression Analysis,EPSY 580 
EPSY 586,Theories of Measurement II,EPSY 585 PSYC 490 
EPSY 587,Hierarchical Linear Models,EPSY 581 EPSY 582 PSYC 406 PSYC 407 
EPSY 590,Advanced Seminar in Educ Psyc,NULL
EPSY 591,Field Study and Thesis Seminar,NULL
EPSY 595,Independent Study,NULL
EPSY 599,Thesis Research,NULL
ESE 103,Earth's Physical Systems,NULL
ESE 104,Geology of the National Parks,NULL
ESE 106,Geographies of Globalization,NULL
ESE 111,Emergence of Life,NULL
ESE 118,Natural Disasters,NULL
ESE 120,Severe and Hazardous Weather,NULL
ESE 140,Climate and Global Change,NULL
ESE 208,History of the Earth System,NULL
ESE 210,Social & Environmental Issues,NULL
ESE 222,Big Rivers of the World,NULL
ESE 254,American People  Places  & Environments,NULL
ESE 287,Environment and Society,NULL
ESE 311,Environmental Issues Today,NULL
ESE 333,Earth Materials and the Env,NULL
ESE 350,Sustainability and the City,NULL
ESE 360,Environmental Writing,NULL
ESE 379,Intro to GIS Systems,NULL
ESE 380,GIS II: Spatial Prob Solving,NULL
ESE 401,ESE Capstone,NULL
ESE 439,Biogeography,NULL
ESE 445,Earth Resources Sustainability,NULL
ESE 497,Special Topics in ESE,NULL
ESE 498,Environmental Writing for Publication,NULL
ESL 110,English Pronunciation & Oral Fluency,NULL
ESL 111,Intro to Academic Writing I,NULL
ESL 112,Intro to Academic Writing II,ESL 111 
ESL 115,Principles of Academic Writing,NULL
ESL 504,English Pronunciation for ITAs,NULL
ESL 506,Oral Communication for ITAs,NULL
ESL 508,Seminar for Intl TAs,NULL
ESL 510,English Pronunciation & Oral Fluency,NULL
ESL 511,Written and Oral Communication,NULL
ESL 512,Introduction to Academic Writing,ESL 511 
ESL 515,Introduction to Academic Writing,NULL
ESL 521,Written and Oral Business Communication,NULL
ESL 522,Introduction to Business Writing,ESL 521 
ESL 592,Advanced Academic Writing,ESL 515 
ESL 593,Academic Presentation Skills,NULL
EURO 385,Politics of the European Union,NULL
EURO 410,Labor and the European Union,NULL
